Price,Volume,Side
86744.203920,0.134688,offer
86744.213900,0.172576,offer
86746.199920,0.000000,offer
86746.209900,0.000000,offer
86746.229860,0.000000,offer
86746.239840,0.000000,offer
86746.629060,0.029460,offer
86748.435440,0.007094,offer
86750.541220,0.000000,offer
86752.457380,0.321903,offer
86752.647000,0.000000,offer
86753.325640,0.172558,offer
86757.058160,0.114814,offer
86759.642980,0.000000,offer
86777.457280,0.000000,offer
86779.812560,0.379068,offer
86831.988000,0.573535,offer
86839.792360,0.639840,offer
86839.812320,0.000000,offer
86744.183960,0.077676,offer
86744.193940,0.050000,offer
86744.203920,0.000000,offer
86744.213900,0.000000,offer
86750.531240,0.172564,offer
86753.325640,0.000000,offer
86754.652980,0.114814,offer
86757.058160,0.000000,offer
86726.090220,0.000000,bid
86724.832740,0.115077,bid
86723.146120,0.115079,bid
86680.232120,0.363345,bid
86678.864860,0.000000,bid
86171.481660,0.050000,bid
86741.499340,0.172893,offer
86744.183960,0.171510,offer
86746.219880,0.000000,offer
86746.239840,0.172572,offer
86750.541220,0.080000,offer
86752.028240,0.000000,offer
86753.076140,0.050000,offer
86754.652980,0.000000,offer
86757.058160,0.114814,offer
86757.617040,0.000000,offer
86757.627020,1.106614,offer
86757.637000,1.150331,offer
86759.642980,0.000000,offer
86759.852560,0.000000,offer
86777.447300,0.379079,offer
86779.812560,0.000000,offer
86839.762420,0.639840,offer
86839.792360,0.000000,offer
86840.989960,0.397621,offer
86840.999940,0.000000,offer
86729.782820,0.000000,bid
86728.535320,0.028768,bid
86701.689120,0.895834,bid
86671.339940,1.628360,bid
86545.971180,1.898497,bid
86746.629060,0.000000,offer
86754.652980,0.000000,offer
86757.058160,0.000000,offer
86757.068140,0.122303,offer
86744.183960,0.077676,offer
86744.193940,0.000000,offer
86839.752440,0.639840,offer
86839.762420,0.000000,offer
83268.629000,0.000000,bid
86729.523340,0.058082,bid
86728.076240,0.000000,bid
86726.359680,0.115075,bid
86700.232040,0.000000,bid
86697.826860,2.877811,bid
86761.968320,1.295622,offer
86762.617020,1.150265,offer
86772.257700,2.875343,offer
86777.437320,0.379079,offer
86777.447300,0.000000,offer
86815.201640,2.873921,offer
86839.732480,0.639840,offer
86839.752440,0.000000,offer
86840.979980,0.397621,offer
86840.989960,0.000000,offer
